Accession;Title;Sample Type;Taxonomy;Channels;Platform;Series;Supplementary Types;Supplementary Links;SRA Accession;Contact;Release Date
GSM5976912;MSCCR_reGRID_1329_Biopsy_2065, UC participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642403;SRX14642403;Carmen argmann;Sep 16, 2022
GSM5976913;MSCCR_reGRID_133_Biopsy_268, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642404;SRX14642404;Carmen argmann;Sep 16, 2022
GSM5976914;MSCCR_reGRID_133_Biopsy_269, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642405;SRX14642405;Carmen argmann;Sep 16, 2022
GSM5976915;MSCCR_reGRID_1330_Biopsy_2066, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642406;SRX14642406;Carmen argmann;Sep 16, 2022
GSM5976916;MSCCR_reGRID_1330_Biopsy_2067, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642407;SRX14642407;Carmen argmann;Sep 16, 2022
GSM5976917;MSCCR_reGRID_1331_Biopsy_2068, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642408;SRX14642408;Carmen argmann;Sep 16, 2022
GSM5976918;MSCCR_reGRID_1331_Biopsy_2069, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642409;SRX14642409;Carmen argmann;Sep 16, 2022
GSM5976919;MSCCR_reGRID_1332_Biopsy_2070, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642410;SRX14642410;Carmen argmann;Sep 16, 2022
GSM5976920;MSCCR_reGRID_1332_Biopsy_2071, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642411;SRX14642411;Carmen argmann;Sep 16, 2022
GSM5976921;MSCCR_reGRID_1333_Biopsy_2072, Control participants,Cecum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642412;SRX14642412;Carmen argmann;Sep 16, 2022
GSM5976922;MSCCR_reGRID_1333_Biopsy_2073, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642413;SRX14642413;Carmen argmann;Sep 16, 2022
GSM5976923;MSCCR_reGRID_1335_Biopsy_2074, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642414;SRX14642414;Carmen argmann;Sep 16, 2022
GSM5976924;MSCCR_reGRID_1335_Biopsy_2075, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642415;SRX14642415;Carmen argmann;Sep 16, 2022
GSM5976925;MSCCR_reGRID_1337_Biopsy_2076, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642416;SRX14642416;Carmen argmann;Sep 16, 2022
GSM5976926;MSCCR_reGRID_1339_Biopsy_2077, CD participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642417;SRX14642417;Carmen argmann;Sep 16, 2022
GSM5976927;MSCCR_reGRID_1339_Biopsy_2078, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642418;SRX14642418;Carmen argmann;Sep 16, 2022
GSM5976928;MSCCR_reGRID_134_Biopsy_270, CD participants,Ileum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642419;SRX14642419;Carmen argmann;Sep 16, 2022
GSM5976929;MSCCR_reGRID_134_Biopsy_271, CD participants,LeftColon I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642420;SRX14642420;Carmen argmann;Sep 16, 2022
GSM5976930;MSCCR_reGRID_1340_Biopsy_2079, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642421;SRX14642421;Carmen argmann;Sep 16, 2022
