Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR18509167;30/09/2022 10:35;28/03/2022 20:17;34059263;3405926300;0;100;1500;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509167/SRR18509167.lite.1;SRX14640246;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406313;SAMN27025642;simple;9606;Homo sapiens;GSM5976519;;;;;;;no;;;;;GEO;SRA1356613;;public;E1B8C58DDCEAA2AC957941F214637969;68FA94E39DC8B54D8D4D0225642CB658
SRR18509168;30/09/2022 10:35;28/03/2022 20:02;33020634;3302063400;0;100;1140;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509168/SRR18509168.lite.1;SRX14640247;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406314;SAMN27025607;simple;9606;Homo sapiens;GSM5976520;;;;;;;no;;;;;GEO;SRA1356613;;public;1F5AF044D2545544BEC8F0786D8F4CAC;5E6326C06373239E11C98E88A03459C3
SRR18509169;30/09/2022 10:35;28/03/2022 20:05;38395255;3839525500;0;100;1323;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509169/SRR18509169.lite.1;SRX14640248;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406315;SAMN27025608;simple;9606;Homo sapiens;GSM5976521;;;;;;;no;;;;;GEO;SRA1356613;;public;C5C15803DBB6EEA94445A2B2FE6098BA;4A202ED589EF929958FEC6C749D2FE30
SRR18509170;30/09/2022 10:35;28/03/2022 20:05;38293129;3829312900;0;100;1238;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509170/SRR18509170.lite.1;SRX14640249;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406316;SAMN27025609;simple;9606;Homo sapiens;GSM5976522;;;;;;;no;;;;;GEO;SRA1356613;;public;69CD66F8A93DB21CA943361DA40C524D;8AE4332CDCD094E6C00F6FB1796A36A4
SRR18509171;30/09/2022 10:35;28/03/2022 20:04;39221615;3922161500;0;100;1264;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509171/SRR18509171.lite.1;SRX14641307;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406642;SAMN27025610;simple;9606;Homo sapiens;GSM5976523;;;;;;;no;;;;;GEO;SRA1356613;;public;5565BA0F9D119A6172D3862BFBE404F7;E21A10367754E61BBEC6CAB7123CC65E
SRR18509172;30/09/2022 10:35;28/03/2022 20:05;35318402;3531840200;0;100;1334;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509172/SRR18509172.lite.1;SRX14641308;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406641;SAMN27025611;simple;9606;Homo sapiens;GSM5976524;;;;;;;no;;;;;GEO;SRA1356613;;public;D00E533EB8118F9D03EB4D943619C449;39AC0DE0359A565E650FE406F7048255
SRR18509173;30/09/2022 10:35;28/03/2022 20:05;35533811;3553381100;0;100;1346;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR018/18509/SRR18509173/SRR18509173.lite.1;SRX14641309;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406643;SAMN27025612;simple;9606;Homo sapiens;GSM5976525;;;;;;;no;;;;;GEO;SRA1356613;;public;751E21BB612A5C5A193E66D98E167BFB;8173FEC1C79352249A846B079AA6809C
SRR18509174;30/09/2022 10:35;28/03/2022 20:04;42634694;4263469400;0;100;1750;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509174/SRR18509174.lite.1;SRX14640199;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406290;SAMN27025613;simple;9606;Homo sapiens;GSM5976526;;;;;;;no;;;;;GEO;SRA1356613;;public;5DF45BA2BE8F54A1C3E784E2FC703B28;69C358E38D255269CEB70CEB03331542
SRR18509175;30/09/2022 10:35;28/03/2022 19:59;26111886;2611188600;0;100;1011;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509175/SRR18509175.lite.1;SRX14640200;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406291;SAMN27025614;simple;9606;Homo sapiens;GSM5976527;;;;;;;no;;;;;GEO;SRA1356613;;public;5A6CE70DFAF50E36E0358BAB76E81641;A19BB535AB249BF64E605E53C392C92B
SRR18509176;30/09/2022 10:35;28/03/2022 19:59;28950410;2895041000;0;100;1131;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509176/SRR18509176.lite.1;SRX14640201;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406292;SAMN27025615;simple;9606;Homo sapiens;GSM5976528;;;;;;;no;;;;;GEO;SRA1356613;;public;E215BE3E2783027F7BA8A586B8FB7124;5318975E113463A5615C8165E3E08C19
