GeneID;Base.mean;log2.FC.;StdErr;Wald.Stats;P.value;P.adj
5141;72.84760532;0.612853235;0.585635191;1.046476107;0.295341271;0.999950567
9817;894.042138;-0.269637385;0.376247509;-0.716648958;0.473590728;0.999950567
53637;6.996668657;-0.410477445;0.858405792;-0.478185783;0.632517981;0.999950567
84971;486.0734991;-0.597419216;0.411139617;-1.453081122;0.146201232;0.999950567
65095;347.3456997;0.053282243;0.360136947;0.14794995;0.882382268;0.999950567
1032;129.0839423;-0.047908584;0.377129531;-0.127034824;0.898912836;0.999950567
10053;1255.25461;-0.299294793;0.613976511;-0.487469451;0.625925687;0.999950567
57153;1174.971724;-0.306112422;0.752210569;-0.40695044;0.684044389;0.999950567
147727;193.0954925;0.10736634;0.349299477;0.307376182;0.758557055;0.999950567
3609;3021.481544;0.432579277;0.353212433;1.22470003;0.220688263;0.999950567
81890;512.6228395;0.045277757;0.28335723;0.159790372;0.873046209;0.999950567
1785;3668.143603;0.434373797;0.4137947;1.049732627;0.293841059;0.999950567
406976;5.452295769;1.188680251;1.095512285;1.085045113;0.277901675;0.999950567
11018;434.3177885;-0.020044568;0.278778571;-0.071901393;0.942680381;0.999950567
255809;48.15840402;-0.185594992;0.410982473;-0.451588581;0.651565398;0.999950567
10498;481.2999758;-0.164134736;0.351031302;-0.467578632;0.640085949;0.999950567
78992;703.4173828;-0.102833452;0.333569833;-0.308281631;0.757868042;0.999950567
90580;331.5952088;0.339582591;0.286295529;1.186126071;0.235572516;0.999950567
6597;1326.386556;0.052562061;0.373611135;0.140686549;0.888117571;0.999950567
3949;1209.780657;0.899226332;0.635135104;1.415803231;0.156833123;0.999950567
147841;165.9555389;-0.176991493;0.510283986;-0.346849005;0.728704759;0.999950567
25959;611.223947;-0.441417137;0.506267172;-0.871905509;0.383259928;0.999950567
57572;485.0086079;0.547273511;0.436679586;1.253261036;0.210110724;0.999950567
55908;7.795374599;0.669642543;0.71861856;0.931846991;0.351415606;0.999950567
9545;405.306657;0.953942834;0.559239602;1.705785555;0.088048014;0.999950567
374882;722.3503559;0.006596373;0.465108748;0.014182432;0.988684436;0.999950567
126075;138.7733123;0.071530796;0.280873466;0.254672672;0.798975925;0.999950567
64748;74.33108096;0.270098237;0.591487598;0.456642266;0.647928194;0.999950567
126074;53.34301174;-0.685673368;0.366799227;-1.869342453;0.061575185;0.999950567
2057;39.59635078;-0.304956755;0.687341811;-0.443675548;0.657277177;0.999950567
57139;18.86352728;0.445294119;0.804144123;0.553749143;0.579750538;0.999950567
5589;1623.271912;-0.640825642;0.480384155;-1.333985802;0.18220851;0.999950567
115950;76.77467467;-0.288142775;0.314017274;-0.917601668;0.358827444;0.999950567
51295;436.2821238;-0.974096626;0.582489703;-1.672298448;0.094465486;0.999950567
1264;162.5899265;-0.825600761;0.587354022;-1.405627151;0.159834869;0.999950567
84337;279.8414552;-1.189769299;0.533672955;-2.229397776;0.02578745;0.999950567
54;1074.20425;-0.483049821;0.464861434;-1.03912647;0.298745922;0.999950567
199692;464.9065017;0.045257112;0.369599019;0.122449221;0.902543259;0.999950567
664709;29.68776983;0.136234086;0.445491244;0.305806427;0.759752035;0.999950567
401898;19.21237233;0.946415431;0.634950382;1.490534469;0.13608376;0.999950567
55552;339.996151;0.498195479;0.428970577;1.161374477;0.245489644;0.999950567
126068;439.0899641;-0.121922527;0.345065683;-0.35333136;0.723840038;0.999950567
126069;52.78802627;0.197161554;0.408643209;0.48247848;0.629466082;0.999950567
126070;1104.732486;0.275286153;0.495527373;0.555541769;0.578524149;0.999950567
90594;410.5356617;-0.173372019;0.566993891;-0.30577405;0.759776688;0.999950567
7620;339.5204197;0.457138002;0.399631389;1.143899138;0.252665469;0.999950567
90592;829.2201923;0.291261385;0.276376881;1.05385582;0.291948933;0.999950567
284390;158.1638751;-0.209328172;0.379671167;-0.551340714;0.581400134;0.999950567
163059;72.55881083;0.747146;0.46907342;1.592812484;0.111202264;0.999950567
729747;9.927495646;0.862808438;0.58326171;1.479281811;0.139065012;0.999950567
284391;363.6598323;0.274072914;0.357155062;0.767377935;0.442856844;0.999950567
388507;100.8698092;0.004990315;0.372059579;0.013412676;0.989298554;0.999950567
100529855;6.945503353;-0.048150522;0.671860974;-0.071667389;0.942866609;0.999950567
90589;44.80548562;0.263932547;0.436937323;0.604051274;0.545809553;0.999950567
7695;367.0758929;-0.186863254;0.315168802;-0.592898958;0.553248776;0.999950567
100289333;6.747053559;-0.237663999;0.927683053;-0.256190946;0.797803399;0.999950567
101060181;12.07614701;1.224176533;0.742692085;1.648296189;0.099291906;0.999950567
