name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gordonibacter pamelaeae	471189	S	32	6	38	0.00000
Raoultibacter timonensis	1907662	S	18	0	18	0.00000
Slackia heliotrinireducens	84110	S	10	0	10	0.00000
Collinsella aerofaciens	74426	S	2779	228	3007	0.00024
Collinsella stercoris	147206	S	49	0	49	0.00000
Fannyhessea vaginae	82135	S	36	1	37	0.00000
Olsenella timonensis	1805478	S	26	7	33	0.00000
Prochlorococcus marinus	1219	S	11	8	19	0.00000
Sutterella wadsworthensis	40545	S	140078	2841	142919	0.01153
Sutterella faecalis	2584944	S	180	4	184	0.00001
Turicimonas muris	1796652	S	66	0	66	0.00001
Burkholderia multivorans	87883	S	22	17	39	0.00000
Delftia tsuruhatensis	180282	S	12	41	53	0.00000
Klebsiella michiganensis	1134687	S	213	961	1174	0.00009
Klebsiella oxytoca	571	S	163	84	247	0.00002
Klebsiella pneumoniae	573	S	133	4049	4182	0.00034
Klebsiella variicola	244366	S	16	217	233	0.00002
Klebsiella quasipneumoniae	1463165	S	12	112	124	0.00001
Raoultella planticola	575	S	18	14	32	0.00000
Escherichia coli	562	S	1829	19675	21504	0.00174
Atlantibacter hermannii	565	S	103	5	108	0.00001
Enterobacter hormaechei	158836	S	17	368	385	0.00003
Enterobacter kobei	208224	S	11	19	30	0.00000
Salmonella enterica	28901	S	27	542	569	0.00005
Proteus mirabilis	584	S	205	38	243	0.00002
Dickeya solani	1089444	S	11	1	12	0.00000
Haemophilus parainfluenzae	729	S	197	24	221	0.00002
Xanthomonas hortorum	56454	S	18	23	41	0.00000
Pseudoalteromonas sp. 1_2015MBL_MicDiv	1720343	S	12	8	20	0.00000
Acinetobacter indicus	756892	S	12	3	15	0.00000
Acinetobacter haemolyticus	29430	S	10	3	13	0.00000
Succinivibrio dextrinosolvens	83771	S	11	0	11	0.00000
Aquicella siphonis	254247	S	11	0	11	0.00000
Komagataeibacter oboediens	65958	S	26	291	317	0.00003
Candidatus Tisiphia endosymbiont of Metellina segmentata	3066274	S	41	45	86	0.00001
